City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rawson,AR,54.21,clear sky,-43.3002,-65.1023,Hosteria Sampedro
5,Mataura,NZ,57.31,overcast clouds,-46.1927,168.8643,Ellie's Villa
7,Skibbereen,IE,48.0,overcast clouds,51.55,-9.2667,The West Cork Hotel
9,Vincennes,FR,48.0,overcast clouds,48.85,2.4333,Aparthotel Adagio Paris Vincennes
11,Ardakan,IR,52.18,clear sky,32.31,54.0175,Ardakan Hotel
18,Fortuna,US,57.09,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
21,Nouadhibou,MR,64.38,few clouds,20.931,-17.0347,El Medina
23,Lebu,CL,51.94,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
31,Constitucion,CL,55.54,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
34,Bethel,US,45.48,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
36,Ushuaia,AR,46.06,light rain,-54.8,-68.3,Albatros Hotel
37,Eureka,US,57.36,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
38,Santa Fe,AR,60.98,clear sky,-31.6333,-60.7,Conquistador Hotel
42,Ribeira Grande,PT,64.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
44,Bodmin,GB,49.96,broken clouds,50.4715,-4.7243,Lanhydrock Hotel and Golf Club
55,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
58,Camana,PE,63.57,overcast clouds,-16.6228,-72.7111,Hostal Morales
60,Buenos Aires,AR,64.13,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
64,Necochea,AR,52.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
68,Shizunai,JP,51.58,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
69,Ponta Do Sol,PT,63.72,clear sky,32.6667,-17.1,Hotel do Campo
73,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Punto de encuentro
75,New Norfolk,AU,58.91,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
79,Cidreira,BR,63.37,overcast clouds,-30.1811,-50.2056,Hotel Castelo
86,Nemuro,JP,46.83,light rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
95,Mercedes,AR,61.18,clear sky,-34.6515,-59.4307,Posada del Inti Centro
96,Kaitangata,NZ,61.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
103,Ngunguru,NZ,60.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
107,Esperance,AU,62.44,broken clouds,-33.8667,121.9,Hospitality Esperance
109,Hobart,AU,59.27,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
110,Borken,DE,52.68,overcast clouds,51.85,6.8667,Haus Waldesruh
111,Mahon,ES,52.36,few clouds,39.8885,4.2658,ARTIEM Capri
118,San Quintin,MX,60.58,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
122,Antofagasta,CL,60.08,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
137,Chuy,UY,51.1,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
145,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
148,Shache,CN,46.2,clear sky,38.4167,77.2406,Delong Hotel
156,Wicklow,IE,47.05,few clouds,53.0,-6.4167,Glenmalure Hostel
160,Ulladulla,AU,61.88,light rain,-35.35,150.4667,Sandpiper Motel
164,Ahipara,NZ,58.48,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
167,Lompoc,US,55.78,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
168,Greenville,US,62.76,broken clouds,35.6127,-77.3663,the 5th Street Inn
171,Teguise,ES,53.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
173,Castro,BR,62.53,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
174,North Bend,US,56.95,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
186,Half Moon Bay,US,56.16,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
189,Tuatapere,NZ,56.97,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
190,Bluff,NZ,58.91,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
193,Gawler,AU,60.82,light rain,-34.6,138.7333,Eagle Foundry Bed & Breakfast
195,Kamaishi,JP,58.15,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
202,Ryotsu,JP,60.76,scattered clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
204,Zvishavane,ZW,64.9,overcast clouds,-20.3267,30.0665,Hotel Boutique Runde
208,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Airbnb rooms
211,Rincon,US,64.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
217,Saint George,US,61.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
218,Santiago Del Estero,AR,64.17,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
223,Pietermaritzburg,ZA,59.76,overcast clouds,-29.6168,30.3928,Redlands Hotel
229,Oyama,JP,60.66,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
236,Obama,JP,64.62,clear sky,35.4958,135.746,Sekumiya
239,Concarneau,FR,47.19,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
241,Guilin,CN,64.51,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
244,Maku,IR,46.04,overcast clouds,39.2911,44.4521,Maku Tourist Hotel
245,Lake Charles,US,51.78,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
247,La Esperanza,GT,51.62,overcast clouds,14.8667,-91.5667,Posada Don Teco
253,General Pico,AR,50.38,clear sky,-35.6566,-63.7568,Euskadi Hotel
259,Dunedin,NZ,54.81,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
262,Burnie,AU,61.95,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
270,Laguna,US,58.82,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
277,Van,TR,47.55,broken clouds,38.4924,43.3831,Elite World Van Hotel
285,Scarborough,GB,53.42,broken clouds,54.2797,-0.4044,The Grand Hotel Scarborough
294,Katsuura,JP,62.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
298,Salinas,US,56.21,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
299,Roald,NO,50.05,drizzle rain,62.5833,6.1333,Flem Cabins
301,Hasaki,JP,59.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
304,Cumberland,US,60.98,clear sky,35.0502,-78.8664,American Eagle Inn
307,Astoria,US,52.86,mist,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
310,Mar Del Plata,AR,58.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
312,Mount Gambier,AU,57.11,overcast clouds,-37.8333,140.7667,The Commodore
313,Zastron,ZA,61.68,clear sky,-30.3023,27.084,Highlands Guest House
314,Carbonia,IT,56.98,clear sky,39.1672,8.5222,Lu 'Hotel
321,Rio Gallegos,AR,51.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
325,Erzin,TR,64.92,broken clouds,36.9559,36.2,Artemis Otel
326,Codrington,AU,54.57,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
340,Coihaique,CL,48.15,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
360,Northam,GB,51.57,overcast clouds,51.0333,-4.2167,Durrant House Hotel
370,Bethal,ZA,63.57,overcast clouds,-26.4579,29.4655,Bluegum Country Lodge
371,Azle,US,46.13,clear sky,32.8951,-97.5459,The Orchard Event Venue & Retreat - Wedding Venue
379,Barcelos,PT,53.74,clear sky,41.5388,-8.6151,Hotel Do Terço
382,Russell,US,54.68,scattered clouds,32.3502,-85.1999,Macs
385,Malazgirt,TR,47.75,overcast clouds,39.1427,42.5401,malazgirt otel
388,Los Llanos De Aridane,ES,58.75,volcanic ash,28.6585,-17.9182,Valle Aridane
394,Guerrero Negro,MX,62.82,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
398,Saldanha,ZA,64.33,clear sky,-33.0117,17.9442,Blue Bay Lodge
402,Bitburg,DE,45.59,mist,49.9667,6.5333,Hotel Bitburg (ex-Eifelstern)
403,Dormagen,DE,51.67,overcast clouds,51.1,6.8333,Hotel Restaurant Knechtstedener Hof
409,Swellendam,ZA,64.76,broken clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
412,Gagra,GE,50.92,overcast clouds,43.3283,40.2239,Hotel KORSHIKOFF
413,Kaeo,NZ,60.33,overcast clouds,-35.1,173.7833,Bushido Lodge
428,Penzance,GB,51.87,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
430,Seydi,TM,46.22,clear sky,39.4816,62.9137,Seydi oteli
439,Sicuani,PE,48.16,overcast clouds,-14.2694,-71.2261,Wilkamayu Hotel
446,Svetlyy,RU,50.05,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
450,Waipawa,NZ,57.04,clear sky,-41.4122,175.5153,Tora Coastal Walk
457,Yarmouth,US,55.0,overcast clouds,41.7057,-70.2286,Blue Rock Resort
459,San Patricio,US,62.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
467,Carballo,ES,47.62,clear sky,43.213,-8.691,Pazo do Souto
476,Old Saybrook,US,46.6,moderate rain,41.2918,-72.3762,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
