City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rawson,AR,-43.3002,-65.1023,54.21,74,9,19.17,clear sky
1,Thompson,CA,55.7435,-97.8558,14.16,92,90,5.75,overcast clouds
2,Komsomolskiy,UZ,40.4272,71.7189,42.22,52,2,4.61,haze
3,West Wendover,US,40.7391,-114.0733,34.81,44,90,0.0,overcast clouds
4,Zemio,CF,5.0314,25.1361,81.46,62,87,3.83,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,57.31,54,95,7.31,overcast clouds
6,Beringovskiy,RU,63.05,179.3167,22.39,74,100,15.9,overcast clouds
7,Skibbereen,IE,51.55,-9.2667,48.0,87,93,8.48,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,69.91,52,75,7.83,broken clouds
9,Vincennes,FR,48.85,2.4333,48.0,94,90,4.61,overcast clouds
10,Mount Isa,AU,-20.7333,139.5,94.77,28,65,8.05,broken clouds
11,Ardakan,IR,32.31,54.0175,52.18,32,0,1.3,clear sky
12,Port Keats,AU,-14.25,129.55,89.46,57,14,10.94,few clouds
13,Oussouye,SN,12.485,-16.5469,75.38,72,52,6.73,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,72.97,69,4,11.39,clear sky
15,Sitka,US,57.0531,-135.33,33.69,75,90,6.91,light snow
16,Port Alfred,ZA,-33.5906,26.891,66.96,56,100,13.71,overcast clouds
17,Atasu,KZ,48.6814,71.6433,8.06,72,53,2.84,broken clouds
18,Fortuna,US,40.5982,-124.1573,57.09,70,90,1.01,overcast clouds
19,Saint-Georges,GD,12.0564,-61.7485,79.07,80,100,11.7,overcast clouds
20,Avarua,CK,-21.2078,-159.775,77.05,78,20,9.22,few clouds
21,Nouadhibou,MR,20.931,-17.0347,64.38,94,12,9.22,few clouds
22,Khandyga,RU,62.6667,135.6,-9.9,98,100,2.66,overcast clouds
23,Lebu,CL,-37.6167,-73.65,51.94,94,43,16.24,scattered clouds
24,Asau,RO,46.4333,26.4,44.96,51,93,7.47,overcast clouds
25,Jamestown,US,42.097,-79.2353,36.99,99,90,7.0,snow
26,Albany,US,42.6001,-73.9662,42.1,83,52,9.89,broken clouds
27,Kununurra,AU,-15.7667,128.7333,103.98,17,22,4.61,few clouds
28,Kodiak,US,57.79,-152.4072,18.91,73,90,5.75,overcast clouds
29,Longyearbyen,SJ,78.2186,15.6401,19.24,68,40,25.32,scattered clouds
30,Caravelas,BR,-17.7125,-39.2481,74.19,87,20,8.08,few clouds
31,Constitucion,CL,-35.3333,-72.4167,55.54,74,100,2.64,overcast clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,4.68,93,100,18.54,light snow
33,Puerto Ayora,EC,-0.7393,-90.3518,66.74,87,86,7.81,overcast clouds
34,Bethel,US,41.3712,-73.414,45.48,88,100,1.01,overcast clouds
35,Kaltasy,RU,55.9693,54.8032,27.28,86,100,15.95,overcast clouds
36,Ushuaia,AR,-54.8,-68.3,46.06,76,40,26.46,light rain
37,Eureka,US,40.8021,-124.1637,57.36,74,100,1.99,overcast clouds
38,Santa Fe,AR,-31.6333,-60.7,60.98,70,0,4.09,clear sky
39,Bredasdorp,ZA,-34.5322,20.0403,68.29,42,87,5.55,overcast clouds
40,Carnarvon,AU,-24.8667,113.6333,77.07,57,0,20.71,clear sky
41,Buala,SB,-8.145,159.5921,80.31,81,100,2.1,light rain
42,Ribeira Grande,PT,38.5167,-28.7,64.8,82,40,8.05,scattered clouds
43,Atuona,PF,-9.8,-139.0333,77.41,73,0,9.44,clear sky
44,Bodmin,GB,50.4715,-4.7243,49.96,93,75,4.61,broken clouds
45,Bengkulu,ID,-3.8004,102.2655,81.18,82,100,9.1,moderate rain
46,Kampot,KH,10.6167,104.1833,87.85,72,91,5.75,overcast clouds
47,Kapaa,US,22.0752,-159.319,77.32,84,40,11.5,scattered clouds
48,Atambua,ID,-9.1061,124.8925,79.72,79,100,1.86,heavy intensity rain
49,Flinders,AU,-34.5833,150.8552,65.8,82,100,5.01,light rain
50,East London,ZA,-33.0153,27.9116,68.94,45,0,10.36,clear sky
51,Olafsvik,IS,64.8945,-23.7142,41.7,75,100,14.03,overcast clouds
52,Balkhash,KZ,46.844,74.9804,20.01,73,0,11.18,clear sky
53,Pevek,RU,69.7008,170.3133,0.37,83,8,9.51,clear sky
54,Barrow,US,71.2906,-156.7887,14.02,79,90,26.46,mist
55,Punta Arenas,CL,-53.15,-70.9167,50.11,76,75,25.32,broken clouds
56,Airai,TL,-8.9266,125.4092,66.45,88,100,2.35,heavy intensity rain
57,Busselton,AU,-33.65,115.3333,74.05,43,5,12.06,clear sky
58,Camana,PE,-16.6228,-72.7111,63.57,86,100,5.19,overcast clouds
59,Sampit,ID,-2.5333,112.95,76.95,95,100,2.89,overcast clouds
60,Buenos Aires,AR,-34.6132,-58.3772,64.13,70,0,0.0,clear sky
61,Yellowknife,CA,62.456,-114.3525,16.32,95,90,12.66,light snow
62,Ilulissat,GL,69.2167,-51.1,12.22,57,20,20.71,few clouds
63,Benguela,AO,-12.5763,13.4055,80.38,75,43,3.56,scattered clouds
64,Necochea,AR,-38.5473,-58.7368,52.03,88,0,8.32,clear sky
65,Faanui,PF,-16.4833,-151.75,79.88,73,52,19.86,broken clouds
66,Georgetown,MY,5.4112,100.3354,89.53,74,40,11.99,scattered clouds
67,Nyurba,RU,63.2842,118.3319,-15.45,99,28,1.9,scattered clouds
68,Shizunai,JP,42.3339,142.3669,51.58,85,100,28.07,overcast clouds
69,Ponta Do Sol,PT,32.6667,-17.1,63.72,67,9,4.76,clear sky
70,Morant Bay,JM,17.8815,-76.4093,80.22,76,19,6.78,few clouds
71,Chokurdakh,RU,70.6333,147.9167,-18.89,100,87,2.68,overcast clouds
72,Kruisfontein,ZA,-34.0033,24.7314,65.88,43,93,13.02,overcast clouds
73,Coquimbo,CL,-29.9533,-71.3436,56.93,88,90,3.44,overcast clouds
74,Mehamn,NO,71.0357,27.8492,33.71,98,100,4.14,overcast clouds
75,New Norfolk,AU,-42.7826,147.0587,58.91,47,28,1.99,scattered clouds
76,Cape Town,ZA,-33.9258,18.4232,71.11,57,40,23.02,scattered clouds
77,Victoria,HK,22.2855,114.1577,77.25,79,66,3.0,broken clouds
78,Narsaq,GL,60.9167,-46.05,17.82,69,7,6.96,clear sky
79,Cidreira,BR,-30.1811,-50.2056,63.37,83,100,7.63,overcast clouds
80,Yulara,AU,-25.2406,130.9889,100.24,6,8,8.05,clear sky
81,Qaanaaq,GL,77.484,-69.3632,-6.9,64,67,7.54,broken clouds
