City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vuktyl,RU,2021-11-16 06:32:21,63.8567,57.3094,21.9,95,100,7.29
1,Inhambane,MZ,2021-11-16 06:32:21,-23.865,35.3833,84.18,70,40,16.11
2,Port Alfred,ZA,2021-11-16 06:32:21,-33.5906,26.891,70.65,69,86,21.9
3,San Rafael Abajo,CR,2021-11-16 06:32:22,9.831,-84.2901,71.38,87,11,4.79
4,Kavieng,PG,2021-11-16 06:32:22,-2.5744,150.7967,83.3,75,100,7.92
5,Mataura,NZ,2021-11-16 06:32:23,-46.1927,168.8643,51.67,62,100,11.01
6,Arraial Do Cabo,BR,2021-11-16 06:32:23,-22.9661,-42.0278,71.46,78,0,14.97
7,East London,ZA,2021-11-16 06:32:23,-33.0153,27.9116,72.54,60,40,20.71
8,Severo-Kurilsk,RU,2021-11-16 06:32:15,50.6789,156.125,34.25,69,80,21.63
9,Qaanaaq,GL,2021-11-16 06:32:23,77.484,-69.3632,2.43,85,100,8.79
10,Albany,US,2021-11-16 06:30:08,42.6001,-73.9662,36.09,77,9,6.22
11,Norman Wells,CA,2021-11-16 06:31:51,65.282,-126.8329,-5.76,77,75,3.44
12,Puerto Ayora,EC,2021-11-16 06:31:14,-0.7393,-90.3518,68.36,79,85,8.28
13,Nishihara,JP,2021-11-16 06:32:24,26.1842,127.7558,76.28,53,20,12.66
14,Havre-Saint-Pierre,CA,2021-11-16 06:32:24,50.2334,-63.5986,37.99,93,90,11.5
15,Los Llanos De Aridane,ES,2021-11-16 06:32:25,28.6585,-17.9182,64.15,75,75,3.0
16,Butaritari,KI,2021-11-16 06:32:25,3.0707,172.7902,82.54,71,85,13.91
17,Lasa,IT,2021-11-16 06:30:28,46.6166,10.7002,41.88,79,100,1.23
18,Vaini,TO,2021-11-16 06:32:26,-21.2,-175.2,77.16,88,75,10.36
19,Fortuna,US,2021-11-16 06:29:15,40.5982,-124.1573,54.48,74,90,4.0
20,San Julian,MX,2021-11-16 06:32:26,21.0167,-102.1667,48.58,39,28,3.24
21,Naze,JP,2021-11-16 06:32:26,28.3667,129.4833,70.72,61,46,11.7
22,Rikitea,PF,2021-11-16 06:32:27,-23.1203,-134.9692,73.62,85,100,11.5
23,Vestmannaeyjar,IS,2021-11-16 06:32:27,63.4427,-20.2734,40.66,70,100,24.07
24,Jamestown,US,2021-11-16 06:32:27,42.097,-79.2353,35.51,97,90,5.01
25,Tuktoyaktuk,CA,2021-11-16 06:32:28,69.4541,-133.0374,-11.2,77,1,4.61
26,Gannan,CN,2021-11-16 06:32:28,47.9147,123.5031,32.31,82,47,4.45
27,Alyangula,AU,2021-11-16 06:32:28,-13.8483,136.4192,91.27,33,100,8.05
28,Tuatapere,NZ,2021-11-16 06:32:29,-46.1333,167.6833,49.82,71,100,13.4
29,Richards Bay,ZA,2021-11-16 06:32:29,-28.783,32.0377,74.75,81,100,17.78
30,Bluff,NZ,2021-11-16 06:32:29,-46.6,168.3333,50.65,77,100,33.24
31,Katsuura,JP,2021-11-16 06:32:30,35.1333,140.3,65.1,76,92,16.49
32,Kayanga,TZ,2021-11-16 06:32:30,-1.5303,31.1511,68.9,62,88,2.28
33,Punta Arenas,CL,2021-11-16 06:32:30,-53.15,-70.9167,46.51,49,75,24.16
34,Koslan,RU,2021-11-16 06:32:31,63.4564,48.8989,28.04,95,100,7.72
35,Ushuaia,AR,2021-11-16 06:32:31,-54.8,-68.3,44.26,61,75,0.0
36,Bredasdorp,ZA,2021-11-16 06:32:31,-34.5322,20.0403,68.29,68,75,6.91
37,Raga,SS,2021-11-16 06:32:32,8.4596,25.678,85.68,22,15,5.21
38,Yellowknife,CA,2021-11-16 06:31:15,62.456,-114.3525,13.41,95,90,6.91
39,Ahipara,NZ,2021-11-16 06:32:32,-35.1667,173.1667,63.66,86,78,9.17
40,Sao Felix Do Xingu,BR,2021-11-16 06:32:32,-6.6447,-51.995,71.64,99,100,0.51
41,Saskylakh,RU,2021-11-16 06:32:33,71.9167,114.0833,-28.25,100,54,3.47
42,Seeheim-Jugenheim,DE,2021-11-16 06:32:33,49.765,8.6519,43.99,93,100,0.63
43,Ancud,CL,2021-11-16 06:29:18,-41.8697,-73.8203,40.53,80,2,5.08
44,Belmonte,BR,2021-11-16 06:32:33,-15.8631,-38.8828,72.1,95,100,7.49
45,Airai,TL,2021-11-16 06:32:34,-8.9266,125.4092,71.38,59,56,4.94
46,Ulladulla,AU,2021-11-16 06:32:34,-35.35,150.4667,63.88,56,6,8.57
47,Padre Bernardo,BR,2021-11-16 06:33:34,-15.35,-48.5,67.8,86,99,5.41
48,Uige,AO,2021-11-16 06:33:35,-7.6087,15.0613,69.58,95,100,1.05
49,Bentiu,SS,2021-11-16 06:30:14,9.2333,29.8333,88.52,28,38,3.11
50,Torbay,CA,2021-11-16 06:33:35,47.6666,-52.7314,47.28,97,90,32.21
51,Rawatbhata,IN,2021-11-16 06:33:36,24.9333,75.5833,77.79,21,0,10.74
52,Narsaq,GL,2021-11-16 06:33:36,60.9167,-46.05,10.62,74,0,5.7
53,Nikolskoye,RU,2021-11-16 06:33:36,59.7035,30.7861,36.01,83,100,12.26
54,Pevek,RU,2021-11-16 06:33:37,69.7008,170.3133,12.51,92,73,6.67
55,Busselton,AU,2021-11-16 06:33:37,-33.65,115.3333,74.08,57,12,10.87
56,Chokurdakh,RU,2021-11-16 06:33:37,70.6333,147.9167,11.46,96,100,6.22
57,Diamantina,BR,2021-11-16 06:33:38,-18.2494,-43.6003,57.33,92,97,4.85
58,Hambantota,LK,2021-11-16 06:33:38,6.1241,81.1185,88.14,70,40,17.27
59,Mahbubabad,IN,2021-11-16 06:33:38,17.6167,80.0167,85.69,64,65,8.7
60,Mecca,SA,2021-11-16 06:33:39,21.4267,39.8261,83.89,47,0,5.32
61,Leningradskiy,RU,2021-11-16 06:29:14,69.3833,178.4167,1.09,98,88,7.27
62,Sur,OM,2021-11-16 06:33:39,22.5667,59.5289,82.08,34,9,6.4
63,Buala,SB,2021-11-16 06:33:40,-8.145,159.5921,82.36,75,90,5.23
64,Pleshanovo,RU,2021-11-16 06:33:40,52.8333,53.4833,11.79,89,20,3.36
65,Puri,IN,2021-11-16 06:33:40,19.8,85.85,79.38,74,30,9.28
66,Thompson,CA,2021-11-16 06:33:41,55.7435,-97.8558,26.76,93,90,4.61
67,Quatre Cocos,MU,2021-11-16 06:33:41,-20.2078,57.7625,82.51,60,44,10.42
68,Carutapera,BR,2021-11-16 06:33:41,-1.195,-46.02,78.24,79,14,7.29
69,Reo,BF,2021-11-16 06:33:42,12.3167,-2.4667,76.05,23,81,8.95
70,Hithadhoo,MV,2021-11-16 06:33:42,-0.6,73.0833,82.67,72,27,15.5
71,Hammerfest,NO,2021-11-16 06:33:43,70.6634,23.6821,40.73,93,75,11.5
72,Jieshi,CN,2021-11-16 06:33:43,22.8134,115.8257,80.94,59,88,7.29
